sour;this is sour
packed;this is packed
nutritious;this is nutritious
sweet;this is sweet
liquid;this is liquid
spotted;this is spotted
flying;this is flying
fast;this is fast
swimming;this is swimming
clumsy;this is clumsy
successful;this is successful
famous;this is famous
corrupt;this is corrupt
young;this is young
skilled;this is skilled
old;this is old
clever;this is clever
mischievous;this is mischievous
happy;this is happy
difficult;this is difficult
deep;this is deep
square;this is square
spacious;this is spacious
tall;this is tall
sharp;this is sharp
metallic;this is metallic
heavy;this is heavy
light;this is light
ancient;this is ancient
